,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
169,goderich,0,CA,1547432325,81,43.74,-81.71,259.928,2.27
170,mayumba,92,GA,1547432386,100,-3.44,10.65,297.978,0.84
171,pangnirtung,48,CA,1547432386,53,66.15,-65.72,245.128,1.59
172,tiarei,90,PF,1547431200,78,-17.53,-149.33,300.15,5.1
173,broome,76,GB,1547430960,81,52.47,1.45,279.15,5.7
174,arlit,0,NE,1547432387,51,18.74,7.39,280.728,2.62
175,lasa,88,CY,1547429400,87,34.92,32.53,281.15,1.5
176,khatanga,44,RU,1547432215,44,71.98,102.47,239.878,4.37
177,shache,0,CN,1547432388,61,38.42,77.24,259.578,1.69
178,matara,76,PE,1547432305,97,-13.74,-72.9,280.278,0.67
179,deputatskiy,48,RU,1547432389,44,69.3,139.9,239.478,1.49
180,saint-pierre,48,FR,1547429400,93,48.95,4.24,280.15,10.8
181,lebu,0,ET,1547427600,45,8.96,38.73,282.15,1.5
182,lazarev,0,RU,1547432391,67,52.23,141.51,255.128,1.14
183,east london,0,ZA,1547432391,100,-33.02,27.91,294.128,2.27
184,egvekinot,24,RU,1547432391,34,66.32,-179.17,241.928,4.99
185,borujerd,90,IR,1547430600,93,33.89,48.76,283.15,5.1
186,bathsheba,40,BB,1547431200,73,13.22,-59.52,298.15,5.1
187,plettenberg bay,20,ZA,1547432393,100,-34.05,23.37,291.878,1.57
188,vila,0,IT,1547430600,66,45.18,8.4,281.15,0.5
189,hilo,90,US,1547430780,57,19.71,-155.08,298.75,5.7
190,darhan,24,MN,1547432394,65,49.49,105.92,252.128,1.39
191,tarko-sale,92,RU,1547432394,80,64.92,77.78,265.478,6.62
192,sampit,24,ID,1547432395,100,-2.54,112.95,301.178,2.07
193,miedzyrzec podlaski,92,PL,1547432395,98,51.99,22.78,274.628,6.02
194,kurtamysh,92,RU,1547432395,87,54.91,64.43,268.228,4.59
195,normandin,75,CA,1547427600,84,48.84,-72.53,254.15,2.1
196,iqaluit,90,CA,1547427600,77,63.75,-68.52,256.15,9.3
197,boda,0,BD,1547432396,55,26.2,88.56,289.178,1.57
198,chilca,75,PE,1547431200,81,-13.22,-72.34,284.15,0.79
199,panelas,12,BR,1547432397,96,-8.66,-36.01,292.028,1.24
200,lorengau,88,PG,1547432397,97,-2.02,147.27,302.078,6.79
201,sao filipe,76,CV,1547432398,98,14.9,-24.5,295.428,5.19
202,port hedland,0,AU,1547431200,56,-20.31,118.58,308.15,8.2
203,columbia,90,US,1547430900,92,38.95,-92.33,273.15,2.1
204,muli,0,IN,1547432399,58,22.62,71.45,285.228,2.07
205,kirakira,12,SB,1547432399,100,-10.46,161.92,301.378,3.52
206,vitim,56,RU,1547432400,39,59.44,112.57,248.228,3.77
207,lompoc,75,US,1547431080,78,34.64,-120.46,287.05,6.7
208,nanakuli,90,US,1547431620,73,21.39,-158.15,299.25,3.1
209,norman wells,75,CA,1547427600,63,65.28,-126.83,249.15,7.7
210,dandong,24,CN,1547432401,51,40.12,124.37,270.978,1.67
211,port-gentil,64,GA,1547432402,100,-0.72,8.78,298.828,2.64
212,tahoua,0,NE,1547432402,35,14.89,5.26,287.728,5.12
213,srednekolymsk,56,RU,1547432402,36,67.46,153.71,242.128,2.27
